uuid,title_en,title_fr,short_form_en,short_form_fr,department_number,umd_number,open_canada_id
5dad5d17-54a3-48d5-9092-3593f63e6997,Infra-PSP Canada Inc.,Infra-PSP Canada Inc.,IPCAN,IPCAN,,498,ipcan
ca986022-e9db-4ed3-b50d-b5282a4cbee8,Infra-PSP Credit Inc.,Infra-PSP Credit Inc.,IPCRED,IPCRED,,499,ipcred
1447b3cd-fef6-4cfa-907c-af7d8e6e57fc,Infra-PSP ECEF Inc.,Infra-PSP ECEF Inc.,IPE,IPE,,500,ipe
d667a83a-7e97-4282-b0c0-855a965801ed,Infra-PSP Partners Inc.,Infra-PSP Partners Inc.,IPP,IPP,,501,ipp
ac76b01b-0569-4067-a427-d1f6183a8746,Infrastructure Canada,Infrastructure Canada,INFC,INFC,278,62,infc
4ea4dd29-5d51-409e-9358-51aa661e526e,Infra TM Investments Inc.,Infra TM Investments Inc.,ITI,ITI,,502,iti
06cc519c-e56e-4fc8-8b9c-be0a461e3cd9,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",IC,IC,230,34,ic
16d0354d-b873-4a50-b39a-8b6fab79034a,Intergovernmental Affairs,Affaires intergouvernementales,IGA,AIG,173,87,iga-aig
da1fe533-dacd-58b6-b76d-c791afdf90fc,International Development Research Centre,Centre de recherches pour le développement international,IDRC,CRDI,280,196,idrc-crdi
6a7ae9c6-15dd-4ccd-a2c4-29bbf020e109,International Joint Commission,Commission mixte internationale,IJC,CMI,4658,60,ijc-cmi
781ee2ff-fa0a-4bac-9192-bf648c6dc92a,Invest in Canada,Investir Au Canada,IIC,IAC,,,iic-iac
aa542655-a6a8-4dd8-970a-ce39c959650b,Ivory Private Investments Inc.,Ivory Private Investments Inc.,IPI,IPI,,503,ipi
24854a03-a1e5-5e5d-9a46-86efae3e508a,Jacques Cartier and Champlain Bridges Incorporated,Ponts Jacques Cartier et Champlain Incorporée,JCCBI,PJCCI,,285,jccbi-pjcci
55dd1011-2e26-4b3a-b17b-0de5badf98a0,Kings Island Private Investments Inc.,Kings Island Private Investments Inc.,KIPI,KIPI,,504,kipi
b2ee0266-52e2-430b-a344-7237274f6104,Laurentian Pilotage Authority Canada,Administration de pilotage des Laurentides Canada,LPA,APL,213,204,lpa-apl
db890cd6-68e6-4765-81b5-0061f904f0b9,Law Commission of Canada,Commission du droit du Canada,ORG231,ORG231,231,284,org231
75bdab68-199f-4c06-92a3-e1e6769b0b8e,Library and Archives Canada,Bibliothèque et Archives Canada,LAC,BAC,129,8,lac-bac
0c002e0e-05b9-4b3b-86fc-23ad8babd461,Library of Parliament,Bibliothèque du Parlement,LP,BP,55558,355,lp-bp
6048d791-7971-4f05-b549-5dec1d7e7742,Mackenzie Valley Environmental Impact Review Board,Office d'examen des répercussions environnementales de la vallée du Mackenzie,MVEIRB,OERVM,,579,mveirb-oervm
6d17c478-bfe6-4ef3-bdc4-1e99d831f79a,Mackenzie Valley Land and Water Board,Office des terres et des eaux de la vallée du Mackenzie Valley,MLVWB,OTEVM,,580,mlvwb-otevm
1d15328a-acfb-4793-8abd-19d0a287a6ac,Marine Atlantic Inc.,Marine Atlantique S.C.C.,MAI,MAI,238,206,mai
c3c6f115-462e-40ee-ae9c-1957152f52e5,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,MGERC,CEEGM,43,42,mgerc-ceegm
88e53539-2a56-4169-b682-c11df3cb405f,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,MPCC,CPPM,66,23,mpcc-cppm
99f22e81-b9bf-4812-9fd9-d383b5ca0caa,"Minister of Intergovernmental Affairs, Infrastructure and Communities","Ministre des Affaires intergouvernementales, de l'Infrastructure et des Collectivités",MIGA,MAIG,,,miga-maig
