GC OrgID,legal_title,appellation_légale,FAA_LGFP,preferred_name,nom_préféré,abbreviation,abreviation,status_statut,end_date_fin,harmonized_name,nom_harmonisé
3422,Director of Soldier Settlement,Directeur de l'établissement de soldats,4,,,,,a,,Director of Soldier Settlement,Directeur de l'établissement de soldats
3423,"The Director, The Veterans' Land Act",Directeur des terres destinées aux anciens combattants,4,,,,,a,,"The Director, The Veterans' Land Act",Directeur des terres destinées aux anciens combattants
3424,Energy Supplies Allocation Board,Office de répartition des approvisionnements d'énergie,4,,,,,a,,Energy Supplies Allocation Board,Office de répartition des approvisionnements d'énergie
3425,"Staff of the Non-Public Funds, Canadian Forces","Personnel des fonds non publics, Forces canadiennes",5,,,,,a,,"Staff of the Non-Public Funds, Canadian Forces","Personnel des fonds non publics, Forces canadiennes"
3426,Statistics Survey Operations,Opérations des enquêtes statistiques,,,,,,a,,Statistics Survey Operations,Opérations des enquêtes statistiques
3427,Federal Judges not part of any department,Juges fédéraux ne faisant pas partie d'un ministère,,,,,,a,,Federal Judges not part of any department,Juges fédéraux ne faisant pas partie d'un ministère
3428,House of Commons,Chambre des communes,,,,,,a,,House of Commons,Chambre des communes
3429,Library of Parliament,Bibliothèque du Parlement,,,,,,a,,Library of Parliament,Bibliothèque du Parlement
3430,Office of the Conflict of Interest and Ethics Commissioner,Commissariat aux conflits d'intérêts et à l'éthique,,,,,,a,,Office of the Conflict of Interest and Ethics Commissioner,Commissariat aux conflits d'intérêts et à l'éthique
3431,Senate Ethics Officer,Conseiller sénatorial en éthique,,,,,,a,,Senate Ethics Officer,Conseiller sénatorial en éthique
3432,Senate,Sénat,,,,,,a,,Senate,Sénat
3433,Office of the Parliamentary Budget Officer,Bureau du directeur parlementaire du budget,,,,,,a,,Office of the Parliamentary Budget Officer,Bureau du directeur parlementaire du budget
3434,Parliamentary Protective Service,Service de protection parlementaire,,,,,,a,,Parliamentary Protective Service,Service de protection parlementaire
3435,Aéroport de Québec Inc.,Aéroport de Québec Inc.,,,,,,a,,Aéroport de Québec Inc.,Aéroport de Québec Inc.
3436,Aéroports de Montréal,Aéroports de Montréal,,,,,,a,,Aéroports de Montréal,Aéroports de Montréal
3437,Asia-Pacific Foundation of Canada,Fondation Asie-Pacifique du Canada,,,,,,a,,Asia-Pacific Foundation of Canada,Fondation Asie-Pacifique du Canada
3438,Association of Canada Lands Surveyors,Association des Arpenteurs des Terres du Canada,,,,,,a,,Association of Canada Lands Surveyors,Association des Arpenteurs des Terres du Canada
3439,Belledune Port Authority,Administration portuaire de Belledune,,,,,,a,,Belledune Port Authority,Administration portuaire de Belledune
3440,Buffalo and Fort Erie Public Bridge Authority,Buffalo and Fort Erie Public Bridge Authority,,,,,,a,,Buffalo and Fort Erie Public Bridge Authority,Buffalo and Fort Erie Public Bridge Authority
3441,Calgary Airport Authority,Administration aéroportuaire de Calgary,,,,,,a,,Calgary Airport Authority,Administration aéroportuaire de Calgary
3442,WinSport,WinSport,,,,,,a,,WinSport,WinSport
3443,Canada Foundation for Innovation,Fondation canadienne pour l'innovation,,,,,,a,,Canada Foundation for Innovation,Fondation canadienne pour l'innovation
3444,Canada Foundation for Sustainable Development Technology,Fondation du Canada pour l'appui technologique au développement durable,,,,,,a,,Canada Foundation for Sustainable Development Technology,Fondation du Canada pour l'appui technologique au développement durable
3445,Canada Games Council,Conseil des Jeux du Canada,,,,,,a,,Canada Games Council,Conseil des Jeux du Canada
3446,Canada Health Infoway Inc.,Inforoute Santé du Canada Inc.,,,,,,a,,Canada Health Infoway Inc.,Inforoute Santé du Canada Inc.
