gc_orgID,rg,harmonized_name,nom_harmonisé,Abbreviation,Abreviation,infobaseID,website,site_web,open_gov_ouvert,ati,pop,phoenix
2289,,RCMP External Review Committee,Comité externe d'examen de la GRC,ERC,CEE,296,www.erc-cee.gc.ca,www.erc-cee.gc.ca,erc-cee,Royal Canadian Mounted Police External Review Committee,REC,
2290,,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la GRC,CRCC,CCETP,297,www.crcc-ccetp.gc.ca/,www.crcc-ccetp.gc.ca/fr,cpc-cpp,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,RPP,
2291,196,National Security and Intelligence Review Agency Secretariat,Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement,,,302,https://nsira-ossnr.gc.ca/,https://nsira-ossnr.gc.ca/fr/,,Not Found,NRA,NRA00
2292,163,Shared Services Canada,Services partagés Canada,SSC,SPC,305,https://www.canada.ca/en/shared-services.html,https://www.canada.ca/fr/services-partages.html,ssc-spc,Shared Services Canada,GSS,GSS00
2293,54,Statistics Canada,Statistique Canada,StatCan,StatCan,313,www.statcan.gc.ca,www.statcan.gc.ca,statcan,Statistics Canada,STC,STC00
2294,,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),VRAB,TACRA,333,www.vrab-tacra.gc.ca,www.vrab-tacra.gc.ca,vrab-tacra,Veterans Review and Appeal Board,AVC,AVC00
2295,192,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,SNSICP,SCPSNR,345,https://www.nsicop-cpsnr.ca/index-en.html,https://www.nsicop-cpsnr.ca/index-fr.html,snsicp-scpssnr,Secretariat of the National Security and Intelligence Committee of Parliamentarians,NSI,NSI00
2296,193,Leaders' Debates Commission,Commission des débats des chefs,,,350,,,,Not Found,LDC,LDC00
2297,170,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,ATSSC,SCDATA,539,www.canada.ca/en/administrative-tribunals-support-service.html,www.canada.ca/fr/service-canadien-appui-tribunaux-administratifs.html,atssc-scdata,Administrative Tribunals Support Service of Canada,ATS,ATS00
2298,,Pacific Economic Development Canada,Développement économique Canada pour le Pacifique,PacifiCan,PacifiCan,560,https://www.canada.ca/en/pacific-economic-development.html,https://www.canada.ca/fr/developpement-economique-pacifique.html,pacifican,Pacific Economic Development Canada (PacifiCan),PED,
2299,200,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario,FedNor,FedNor,561,http://fednor.gc.ca/eic/site/fednor-fednor.nsf/eng/home,http://fednor.gc.ca/eic/site/fednor-fednor.nsf/fra/accueil,fednor,Federal Economic Development Agency for Northern Ontario,NOR,
2300,38,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,ASFC,26,www.cbsa.gc.ca,www.asfc.gc.ca,cbsa-asfc,Canada Border Services Agency,BSF,BSF00
2300,85,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,ASFC,26,www.cbsa.gc.ca,www.asfc.gc.ca,cbsa-asfc,Canada Border Services Agency,BSF,BSF00
2301,,Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions,,,32,,,ceria-acire,Not Found,RED,
2302,,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,CEIC,CAEC,33,www.esdc.gc.ca/eng/jobs/ei/commission/index.shtml,www.edsc.gc.ca/fra/emplois/ae/commission/index.shtml,ceic-caec,Not Found,CEI,
2303,130,Canada Revenue Agency,Agence du revenu du Canada,CRA,ARC,46,www.canada.ca/en/revenue-agency.html,www.canada.ca/fr/agence-revenu.html,cra-arc,Canada Revenue Agency,NAR,NAR00
